Títulos,Categorias,Preços(£),Avaliações,Estocagem
Seven Days in the Art World,Add a comment,Â52.33,Two,3
Seven Brief Lessons on Physics,Science,Â30.60,Four,3
Scarlet (The Lunar Chronicles #2),Young Adult,Â14.57,Four,3
Sarah's Key,Add a comment,Â46.29,One,3
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,Â21.57,Five,3
Running with Scissors,Autobiography,Â12.91,Four,3
Rogue Lawyer (Rogue Lawyer #1),Add a comment,Â50.11,Three,3
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nonfiction,Â41.67,Four,3
Rework,Business,Â44.88,Two,3
Reservations for Two,Romance,Â11.10,Three,3
Red: The True Story of Red Riding Hood,Childrens,Â28.54,Three,3
Ready Player One,Science Fiction,Â19.07,Four,3
Quiet: The Power of Introverts in a World That Can't Stop Talking,Default,Â43.55,One,3
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,Â43.63,Three,3
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,Â39.13,One,3
Packing for Mars: The Curious Science of Life in the Void,Default,Â56.68,Two,3
Outliers: The Story of Success,Nonfiction,Â14.16,One,3
Original Fake,Sequential Art,Â31.45,Three,3
Orange Is the New Black,Default,Â24.61,Two,3
One for the Money (Stephanie Plum #1),Default,Â32.87,Two,3
Notes from a Small Island (Notes From a Small Island #1),Nonfiction,Â40.17,One,3
Night (The Night Trilogy #1),Nonfiction,Â13.51,One,3
Neither Here nor There: Travels in Europe,Travel,Â38.95,Three,3
Naked,Humor,Â31.69,Three,3
Morning Star (Red Rising #3),Default,Â29.40,One,3
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",Nonfiction,Â57.83,One,3
Midnight Riot (Peter Grant/ Rivers of London - books #1),Fantasy,Â55.46,Two,3
Me Talk Pretty One Day,Autobiography,Â57.60,Two,3
Manuscript Found in Accra,Add a comment,Â34.98,Two,3
Lust & Wonder,Autobiography,Â11.87,Two,3
Lila (Gilead #3),Fiction,Â12.47,Three,3
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,Â33.26,Two,3
Life Without a Recipe,Autobiography,Â59.04,Five,3
Life After Life,Default,Â26.13,Two,3
Letter to a Christian Nation,Nonfiction,Â22.20,One,3
Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction,Â45.11,One,3
Legend (Legend #1),Young Adult,Â43.69,Four,3
"Lean In: Women, Work, and the Will to Lead",Default,Â25.02,One,3
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,Â55.50,Five,3
Lady Renegades (Rebel Belle #3),Young Adult,Â53.04,Five,3
Jurassic Park (Jurassic Park #1),Fiction,Â44.97,One,3
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,Nonfiction,Â42.38,One,3
Is Everyone Hanging Out Without Me? (And Other Concerns),Default,Â20.11,Three,3
Into the Wild,Nonfiction,Â56.70,Five,3
Inferno (Robert Langdon #4),Fiction,Â41.00,Five,3
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Nonfiction,Â28.85,Three,3
If I Run (If I Run #1),Christian Fiction,Â49.97,Four,3
I've Got Your Number,Womens Fiction,Â19.69,One,3
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Nonfiction,Â28.88,Two,3
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,Food and Drink,Â33.14,Three,3
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,Â43.70,Two,3
House of Leaves,Horror,Â54.89,One,3
Horrible Bear!,Childrens,Â37.52,Two,3
Holidays on Ice,Humor,Â51.07,Two,3
Heir to the Sky,Fantasy,Â44.07,Four,3
Green Eggs and Ham (Beginner Books B-16),Childrens,Â10.79,Four,3
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,Â42.72,One,3
Gratitude,Nonfiction,Â26.66,Five,3
Gone Girl,Default,Â37.60,Five,3
Golden (Heart of Dread #3),Young Adult,Â42.21,Four,3
Girl in the Blue Coat,Historical Fiction,Â46.83,Two,3
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,Â45.17,Two,3
"Friday Night Lights: A Town, a Team, and a Dream",Sports and Games,Â51.22,Three,3
Fire Bound (Sea Haven/Sisters of the Heart #5),Add a comment,Â21.28,Four,3
Fifty Shades Freed (Fifty Shades #3),Adult Fiction,Â15.36,Five,3
Fellside,Default,Â38.62,One,3
Extreme Prey (Lucas Davenport #26),Mystery,Â25.40,Three,3
Eragon (The Inheritance Cycle #1),Fantasy,Â43.87,Three,3
Eclipse (Twilight #3),Default,Â18.74,One,3
Dune (Dune #1),Science Fiction,Â54.86,One,3
Dracula,Default,Â52.62,Three,3
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,Â51.48,One,3
Disrupted: My Misadventure in the Start-Up Bubble,Nonfiction,Â15.28,Five,3
Dead Wake: The Last Crossing of the Lusitania,Default,Â39.24,Five,3
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Default,Â17.81,One,3
Darkfever (Fever #1),Fantasy,Â56.02,One,3
Dark Places,Default,Â23.90,Five,3
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,Â49.13,Five,3
Counting Thyme,Childrens,Â10.62,One,3
Cosmos,Add a comment,Â36.17,Two,3
Civilization and Its Discontents,Psychology,Â59.95,Two,3
Cinder (The Lunar Chronicles #1),Young Adult,Â26.09,One,3
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,Â37.35,Two,3
Career of Evil (Cormoran Strike #3),Mystery,Â24.72,Two,3
Breaking Dawn (Twilight #4),Default,Â35.28,Five,3
Brave Enough,Nonfiction,Â51.32,Five,3
Boy Meets Boy,Young Adult,Â21.12,Three,3
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Nonfiction,Â27.35,Two,3
Blink: The Power of Thinking Without Thinking,Nonfiction,Â21.74,Five,3
Black Flags: The Rise of ISIS,Nonfiction,Â40.87,One,3
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,Â49.31,One,3
Big Little Lies,Fiction,Â22.11,One,3
Between Shades of Gray,Historical Fiction,Â20.79,Five,3
Best of My Love (Fool's Gold #20),Romance,Â27.41,Two,3
Beowulf,Classics,Â38.35,Two,3
Beautiful Creatures (Caster Chronicles #1),Default,Â21.55,Five,3
Awkward,Sequential Art,Â38.02,Two,3
Ash,Fantasy,Â22.06,Four,3
Are We There Yet?,Childrens,Â10.66,Three,3
Are We Smart Enough to Know How Smart Animals Are?,Nonfiction,Â56.58,One,3
Annie on My Mind,Young Adult,Â36.83,Five,3
And Then There Were None,Classics,Â35.01,Two,3
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Nonfiction,Â30.48,Four,3
A Visit from the Goon Squad,Default,Â14.08,Five,3
A Storm of Swords (A Song of Ice and Fire #3),Fantasy,Â31.22,Two,3
A Heartbreaking Work of Staggering Genius,Autobiography,Â54.29,Five,3
8 Keys to Mental Health Through Exercise,Psychology,Â31.04,One,3
#GIRLBOSS,Add a comment,Â50.96,One,3
"The Suffragettes (Little Black Classics, #96)",Nonfiction,Â11.89,Two,2
The Sense of an Ending,Add a comment,Â31.38,Three,2
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,Â54.81,One,2
The Course of Love,Fiction,Â16.78,Three,2
Sugar Rush (Offensive Line #2),Sports and Games,Â24.42,One,2
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,Â11.75,Three,2
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,Â20.02,One,2
New Moon (Twilight #2),Young Adult,Â12.86,Four,2
Life,Music,Â31.58,Five,2
Kindle Paperwhite User's Guide,Nonfiction,Â34.00,Three,2
H is for Hawk,Nonfiction,Â57.42,Five,2
Girl Online On Tour (Girl Online #2),Young Adult,Â53.47,One,2
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,Â11.64,Five,2
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,Â52.88,Four,2
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,Â18.51,Four,1
While You Were Mine,Historical Fiction,Â41.32,Five,1
Where Lightning Strikes (Bleeding Stars #3),Romance,Â39.77,Three,1
When I'm Gone,Fiction,Â51.96,Three,1
Ways of Seeing,Art,Â39.51,Five,1
"Vampire Knight, Vol. 1 (Vampire Knight #1)",Paranormal,Â15.40,One,1
Vampire Girl (Vampire Girl #1),Fantasy,Â53.82,Two,1
Twenty Love Poems and a Song of Despair,Poetry,Â30.95,Four,1
Travels with Charley: In Search of America,Nonfiction,Â57.82,Five,1
Three Wishes (River of Time: California #1),Science Fiction,Â44.18,Two,1
This One Moment (Pushing Limits #1),Romance,Â48.71,One,1
The Zombie Room,Default,Â19.69,Five,1
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,Â36.52,Two,1
The Tumor,Nonfiction,Â41.56,Five,1
The Story of Hong Gildong,Classics,Â43.19,Four,1
The Silent Wife,Fiction,Â12.34,Five,1
The Silent Twin (Detective Jennifer Knight #3),Fantasy,Â36.25,Three,1
The Selfish Gene,Science,Â29.45,One,1
The Secret Healer,Historical Fiction,Â34.56,Three,1
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,Â54.12,Three,1
The Republic,Add a comment,Â33.78,Three,1
The Odyssey,Add a comment,Â29.64,Three,1
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,Â57.70,Four,1
The Nicomachean Ethics,Philosophy,Â36.34,One,1
The Name of the Wind (The Kingkiller Chronicle #1),Default,Â50.59,Three,1
The Mirror & the Maze (The Wrath and the Dawn #1.5),Fantasy,Â29.38,One,1
The Little Prince,Classics,Â45.42,Two,1
The Light of the Fireflies,Add a comment,Â54.43,One,1
The Last Girl (The Dominion Trilogy #1),Science Fiction,Â36.26,Two,1
The Iliad,Add a comment,Â16.16,One,1
The Hook Up (Game On #1),New Adult,Â36.29,Five,1
The Haters,Young Adult,Â27.89,Five,1
The Girl You Lost,Mystery,Â12.29,Five,1
The Girl In The Ice (DCI Erika Foster #1),Mystery,Â15.85,Three,1
The End of the Jesus Era (An Investigation #1),Nonfiction,Â14.40,One,1
The Edge of Reason (Bridget Jones #2),Womens Fiction,Â19.18,Four,1
The Complete Maus (Maus #1-2),Sequential Art,Â10.64,Three,1
The Communist Manifesto,Add a comment,Â14.76,Three,1
The Bhagavad Gita,Religion,Â57.49,Three,1
The Bette Davis Club,Fiction,Â30.66,Three,1
The Art of Not Breathing,Young Adult,Â40.83,Four,1
Taking Shots (Assassins #1),Default,Â18.88,Two,1
Starlark,Historical Fiction,Â25.83,Three,1
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,Â42.12,Three,1
Sister Sable (The Mad Queen #1),Fantasy,Â13.33,Three,1
Shatter Me (Shatter Me #1),Default,Â42.40,One,1
Shameless,New Adult,Â58.35,Three,1
Shadow Rites (Jane Yellowrock #10),Fantasy,Â21.72,Four,1
Settling the Score (The Summer Games #1),Sports and Games,Â44.91,Two,1
Sense and Sensibility,Classics,Â37.46,One,1
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,Â28.48,One,1
"Rhythm, Chord & Malykhin",Romance,Â28.34,Two,1
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,Â46.96,Five,1
Paradise Lost (Paradise #1),Default,Â24.96,One,1
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,Â21.71,Four,1
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,Â29.87,Three,1
Origins (Alphas 0.5),Fantasy,Â28.99,One,1
One Second (Seven #7),Fantasy,Â52.94,Two,1
On the Road (Duluoz Legend),Default,Â32.36,Three,1
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,Â55.66,Two,1
Off Sides (Off #1),New Adult,Â39.45,Five,1
Of Mice and Men,Classics,Â47.11,Two,1
Myriad (Prentor #1),Fantasy,Â58.75,Four,1
My Perfect Mistake (Over the Top #1),Romance,Â38.92,Two,1
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,Â39.39,Four,1
Meditations,Philosophy,Â25.89,Two,1
Matilda,Childrens,Â28.34,One,1
Lost Among the Living,Historical Fiction,Â27.70,Four,1
Lord of the Flies,Add a comment,Â24.89,Three,1
Listen to Me (Fusion #1),Romance,Â58.99,Three,1
Kitchens of the Great Midwest,Fiction,Â57.20,Five,1
Jane Eyre,Default,Â38.43,Five,1
Imperfect Harmony,Romance,Â34.74,Four,1
Icing (Aces Hockey #2),Sports and Games,Â40.44,Four,1
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,Â45.24,Three,1
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,Â34.96,Four,1
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,Â56.76,Four,1
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,Â40.28,Five,1
Frankenstein,Default,Â38.00,Two,1
Forever Rockers (The Rocker #12),Music,Â28.80,Three,1
Fighting Fate (Fighting #6),Romance,Â39.24,Three,1
Emma,Classics,Â32.93,Two,1
"Eat, Pray, Love",Nonfiction,Â51.32,Three,1
Deep Under (Walker Security #1),Romance,Â47.09,Five,1
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,Â28.42,Four,1
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,Â22.85,Three,1
Charity's Cross (Charles Towne Belles #4),Romance,Â41.24,One,1
Bright Lines,Fiction,Â39.07,Five,1
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,Â29.82,One,1
Bounty (Colorado Mountain #7),Romance,Â37.26,Four,1
Blood Defense (Samantha Brinkman #1),Mystery,Â20.30,Three,1
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,Â34.65,Five,1
Beyond Good and Evil,Philosophy,Â43.38,One,1
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,Â55.53,One,1
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,Â57.06,Four,1
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,Â16.97,Five,1
1st to Die (Women's Murder Club #1),Mystery,Â53.98,One,1
"1,000 Places to See Before You Die",Travel,Â26.08,Five,1
